                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.91997,                  1.477,                0.82717,                 1.0997,                0.75388,                0.66032,                0.75554,                0.52836,                0.76493,                0.62389,                0.72251,                0.43188,                0.96054,                 0.7717,                 4.4319,                 1.1472,               0.008053,               0.008053,               0.008053
                     61,                0.92203,                 1.4587,                0.82605,                 1.0953,                0.75608,                0.65815,                0.75532,                0.52858,                0.76463,                0.62312,                0.72171,                0.43204,                0.96024,                0.77247,                 4.4538,                 1.1488,                0.00802,                0.00802,                0.00802
                     62,                0.91727,                 1.4554,                0.82654,                 1.0921,                0.75622,                0.65565,                0.75539,                0.52871,                0.76719,                0.62173,                0.72133,                0.43188,                0.95891,                0.77186,                 4.4314,                 1.1475,               0.007987,               0.007987,               0.007987
                     63,                0.91191,                 1.4494,                 0.8212,                 1.0927,                0.75586,                0.65736,                0.75526,                 0.5287,                0.76663,                0.62225,                0.72211,                 0.4321,                0.95764,                0.77234,                 4.3759,                 1.1448,               0.007954,               0.007954,               0.007954
                     64,                  0.921,                 1.4655,                0.82945,                 1.0974,                0.75862,                0.65582,                0.75572,                0.52866,                0.76567,                0.62191,                0.72182,                0.43193,                0.95795,                0.77266,                 4.3377,                 1.1448,               0.007921,               0.007921,               0.007921
                     65,                0.91458,                 1.4562,                0.82217,                 1.0929,                0.75958,                0.65441,                0.75535,                0.52879,                0.76563,                0.62294,                0.72294,                0.43284,                0.95835,                0.77142,                 4.3378,                 1.1464,               0.007888,               0.007888,               0.007888
                     66,                0.91747,                 1.4679,                0.82475,                  1.092,                0.75881,                0.65375,                0.75536,                0.52894,                0.76034,                0.62144,                0.72086,                0.43255,                0.95642,                0.77162,                 4.3064,                 1.1437,               0.007855,               0.007855,               0.007855
                     67,                0.91485,                 1.4612,                0.81961,                  1.091,                0.76057,                0.65137,                0.75513,                0.52941,                0.75954,                0.62398,                 0.7229,                 0.4325,                 0.9555,                0.77185,                 4.3087,                 1.1418,               0.007822,               0.007822,               0.007822
                     68,                0.92371,                 1.4703,                0.82535,                 1.0919,                 0.7626,                0.65202,                0.75582,                0.53011,                0.76171,                0.62282,                0.72202,                0.43275,                 0.9533,                0.77163,                 4.3091,                 1.1394,               0.007789,               0.007789,               0.007789
                     69,                0.92245,                 1.4648,                0.82747,                 1.0947,                0.76234,                0.65167,                 0.7557,                0.53036,                0.76039,                0.62295,                0.72128,                0.43326,                 0.9528,                 0.7722,                 4.2746,                  1.138,               0.007756,               0.007756,               0.007756
                     70,                0.90977,                 1.4582,                0.81818,                 1.0903,                0.76162,                0.65254,                0.75497,                0.53049,                0.75977,                0.62312,                0.72082,                0.43306,                0.95204,                0.77242,                 4.2938,                 1.1374,               0.007723,               0.007723,               0.007723
                     71,                0.91635,                 1.4343,                0.81865,                 1.0901,                0.76081,                0.65499,                0.75605,                0.53106,                0.76139,                0.62364,                0.72274,                0.43406,                0.95094,                0.77182,                 4.3086,                 1.1362,                0.00769,                0.00769,                0.00769
                     72,                0.91091,                 1.4366,                 0.8206,                 1.0902,                0.76007,                0.65461,                0.75574,                0.53141,                0.76351,                0.62403,                0.72269,                0.43394,                0.95015,                0.77167,                 4.2857,                 1.1362,               0.007657,               0.007657,               0.007657
                     73,                 0.9121,                 1.4299,                0.81863,                 1.0887,                0.76144,                0.65409,                0.75594,                0.53173,                0.76268,                0.62507,                0.72351,                0.43434,                0.95089,                0.77161,                 4.2988,                 1.1368,               0.007624,               0.007624,               0.007624
                     74,                0.91025,                 1.4436,                0.81721,                 1.0858,                0.76402,                0.65098,                0.75581,                0.53167,                 0.7618,                0.62423,                0.72322,                0.43371,                0.95143,                0.77133,                 4.2783,                 1.1372,               0.007591,               0.007591,               0.007591
                     75,                0.90775,                 1.4566,                0.81365,                 1.0858,                0.76608,                0.65001,                0.75617,                0.53177,                0.75904,                0.62623,                0.72315,                0.43451,                0.95138,                0.77114,                 4.2598,                  1.137,               0.007558,               0.007558,               0.007558
                     76,                0.91238,                 1.4327,                0.81433,                 1.0855,                 0.7633,                0.65288,                0.75614,                0.53136,                0.75898,                0.62285,                0.72241,                0.43396,                0.95048,                0.77094,                 4.2268,                 1.1356,               0.007525,               0.007525,               0.007525
                     77,                0.90622,                  1.427,                0.81336,                 1.0838,                 0.7615,                0.65392,                0.75626,                0.53188,                0.75813,                0.62641,                0.72282,                 0.4341,                0.94997,                0.77073,                 4.2226,                 1.1342,               0.007492,               0.007492,               0.007492
                     78,                0.90127,                 1.4313,                0.80733,                 1.0835,                0.76004,                0.65662,                0.75644,                0.53163,                 0.7589,                0.62571,                0.72257,                0.43402,                0.95051,                0.77119,                 4.2217,                 1.1349,               0.007459,               0.007459,               0.007459
                     79,                0.90673,                 1.4212,                0.81602,                 1.0835,                0.75939,                0.65548,                0.75595,                0.53099,                0.75682,                0.62571,                0.72194,                0.43371,                 0.9503,                0.77102,                 4.2168,                 1.1339,               0.007426,               0.007426,               0.007426
