                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.5765,                 2.4055,                 1.2013,                 1.2951,                0.55415,                 0.4677,                0.50557,                0.23325,                 0.5169,                0.43671,                0.45105,                0.17005,                 1.7663,                 2.7232,                 1.3198,                 1.2395,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.5584,                 2.3342,                 1.1834,                 1.2841,                 0.5455,                0.47564,                0.49662,                0.23195,                0.50457,                0.41704,                0.43649,                0.16719,                 1.8047,                 2.6114,                 1.3204,                 1.2523,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.5542,                 2.3467,                 1.1914,                 1.2698,                0.59355,                0.46593,                0.50161,                0.23706,                0.55317,                0.41266,                0.44254,                0.16763,                 1.7911,                 3.2662,                 1.3053,                 1.2526,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.5498,                 2.3013,                 1.1505,                 1.2585,                0.57702,                0.44148,                0.49053,                0.22646,                0.59252,                0.39852,                0.45478,                0.17276,                 1.7629,                 2.4856,                 1.3389,                 1.2339,               0.001604,               0.001604,               0.001604
                     62,                 1.5388,                 2.2772,                 1.1884,                 1.2667,                0.54265,                0.49481,                0.48981,                0.22137,                0.48978,                0.44086,                0.42797,                0.15472,                 1.7977,                  2.513,                   1.38,                 1.2615,              0.0015974,              0.0015974,              0.0015974
                     63,                  1.546,                 2.3661,                 1.1762,                  1.259,                0.60108,                0.42296,                0.43353,                0.21057,                0.58732,                0.38074,                0.39054,                0.15919,                 1.7831,                 2.5924,                 1.3763,                 1.2678,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.5329,                 2.3418,                 1.1355,                 1.2647,                0.58798,                0.40741,                0.44071,                0.20281,                0.52422,                0.35829,                0.37005,                0.13698,                 1.8385,                 2.4787,                 1.3783,                 1.2571,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.5522,                 2.3475,                 1.1781,                 1.2782,                0.59194,                0.43626,                 0.4999,                0.24315,                0.58311,                0.38593,                0.44367,                0.17634,                 1.7223,                 2.5538,                 1.3055,                 1.2095,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.5175,                 2.3041,                 1.1372,                 1.2493,                0.53476,                   0.48,                0.50487,                0.23666,                0.54039,                0.41037,                 0.4589,                0.17921,                 1.7632,                 2.5606,                 1.3472,                 1.2355,               0.001571,               0.001571,               0.001571
                     67,                 1.5193,                 2.3229,                 1.1611,                  1.271,                0.54971,                0.46593,                0.48999,                0.22586,                0.57076,                0.37407,                0.41555,                0.15297,                 1.7618,                 2.4344,                 1.3318,                 1.2323,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.5172,                 2.2685,                 1.1493,                 1.2577,                0.61642,                 0.4363,                0.48949,                0.23348,                0.60442,                0.39259,                0.43514,                0.16761,                 1.7428,                  2.518,                 1.3273,                 1.2255,              0.0015578,              0.0015578,              0.0015578
                     69,                  1.533,                 2.3184,                   1.15,                 1.2537,                0.61425,                 0.4037,                0.43962,                0.20253,                0.57109,                0.32889,                0.34844,                0.13193,                 1.8432,                 2.9222,                 1.4016,                 1.2328,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.5021,                 2.2847,                  1.141,                 1.2371,                0.55926,                   0.46,                0.49654,                0.23793,                0.50343,                0.41407,                0.43912,                0.17779,                 1.7385,                 2.3961,                 1.3481,                 1.2286,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.5206,                 2.2323,                 1.1321,                 1.2548,                0.53351,                 0.4837,                0.50432,                0.24837,                0.51229,                0.45259,                0.46217,                0.18924,                 1.6842,                 2.5575,                 1.3186,                  1.192,               0.001538,               0.001538,               0.001538
